recipe,ingredients,cuisines,diets,dishTypes
Jade Buddha Salmon Tartare,chives|cilantro|ginger|green onion|habanero sauce and chile|lime juice|lime zest|olive oil to coat|rice vinegar|salmon|salt and pepper|thai basil,,gluten free|dairy free|paleolithic|primal|pescatarian,lunch|main course|main dish|dinner
Finger Foods: Frittata Muffins,broccoli|cheddar cheese|chives|eggs|orange pepper|salt and pepper|t cream|tomato,,gluten free|lacto ovo vegetarian|primal|ketogenic,morning meal|brunch|breakfast
Spicy Black-Eyed Pea Curry with Swiss Chard and Roasted Eggplant,black-eyed peas|chilies|curry powder|garam masala|globe|ground coriander|ground cumin|ground mustard powder|juice of lemon|olive oil|sea salt|shallots|swiss chard|tomato|water,indian|asian,gluten free|dairy free|lacto ovo vegetarian|vegan,antipasti|starter|snack|appetizer|antipasto|hor d'oeuvre
Moroccan chickpea and lentil stew,broccoli|carrots|celery stalks|chickpeas|cilantro|couscous|ground cinnamon|ground cumin|ground turmeric|lemon juice|lentils|olive oil|paprika|salt and pepper|tomato paste|water,,dairy free|lacto ovo vegetarian|vegan,lunch|soup|main course|main dish|dinner
Strawberry-Mango Quinoa Salad,bell pepper|cream|cucumber|honey|lime juice|lime zest|mango|mint|olive oil|quinoa|salt|strawberries|water,,gluten free|lacto ovo vegetarian,side dish|antipasti|salad|starter|snack|appetizer|antipasto|hor d'oeuvre
Caldo Verde - Portuguese Kale Soup,carrots|chicken stock and 2 cups of water|chorizo links|garlic cloves|kale|of water and 2 packets of chicken boullion|onion|pepper flakes|potatoes|salt and pepper,,gluten free|dairy free|whole 30,lunch|soup|main course|main dish|dinner
Moroccan Couscous and Chickpea Salad,bell pepper|cayenne|chickpeas|cinnamon|couscous|green onions|ground ginger|ground nutmeg|lemon|olive oil|parsley|pepper|pistachio nuts|salt|turmeric|vegetable broth,,dairy free|lacto ovo vegetarian|vegan,side dish
Easy Vegetable Beef Soup,bay leaves|beef bouillon cubes|beef short ribs|butter beans|canned tomatoes|celery|celery salt|elbow macaroni|eyed peas|garlic powder|ground pepper|kernal corn|on carrots|onion|parsley|potatoes|salt|seasoning|water 4 qts|worcestershire sauce,,dairy free,lunch|soup|main course|main dish|dinner
Mango Fried Rice,chicken stock|mango|rice|scotch bonnet pepper|seasoning cubes|vegetables,chinese|asian,gluten free|dairy free,side dish|lunch|main course|main dish|dinner
Homemade Guacamole,avocados|cilantro|juice of lime|onion|pepper|roma tomato,mexican,gluten free|dairy free|paleolithic|lacto ovo vegetarian|primal|whole 30|vegan,antipasti|condiment|starter|snack|appetizer|dip|antipasto|hor d'oeuvre|spread
Roasted Broccoli with Lemon and Garlic,broccoli florets|extra virgin olive oil|garlic|ground pepper|lemon juice|salt,,gluten free|dairy free|paleolithic|lacto ovo vegetarian|primal|whole 30|vegan,side dish
Spicy Indian-Style Hummus,asafetida|cayenne|chickpeas|chilies|chives|garlic|ginger|ground coriander|ground cumin|ground pepper|juice of lemon|olive oil|parsley|sea salt|tahini|turmeric,middle eastern,gluten free|dairy free|lacto ovo vegetarian|vegan,antipasti|condiment|starter|snack|appetizer|dip|antipasto|hor d'oeuvre|spread
